benchmark,l1d,l1i,l2,l1d_assoc,l1i_assoc,l2_assoc,block_size,IL1_misses,DL1_misses,L2_misses,CPI
458.sjeng,256kB,256kB,4MB,8,1,8,32,3930,16678126,16660257,2.8662
458.sjeng,256kB,256kB,4MB,8,1,8,64,2548,8384805,8365001,1.9371
458.sjeng,256kB,256kB,4MB,8,1,8,128,1750,4239281,4219401,1.4728
458.sjeng,256kB,256kB,4MB,8,2,1,32,2930,16678126,16662101,2.8664
458.sjeng,256kB,256kB,4MB,8,2,1,64,1609,8384805,8367925,1.9374
458.sjeng,256kB,256kB,4MB,8,2,1,128,904,4239281,4222063,1.4731
458.sjeng,256kB,256kB,4MB,8,2,2,32,2930,16678126,16660902,2.8663
458.sjeng,256kB,256kB,4MB,8,2,2,64,1609,8384805,8366527,1.9373
458.sjeng,256kB,256kB,4MB,8,2,2,128,904,4239281,4220722,1.473
458.sjeng,256kB,256kB,4MB,8,2,4,32,2930,16678126,16660339,2.8662
458.sjeng,256kB,256kB,4MB,8,2,4,64,1609,8384805,8365548,1.9372
458.sjeng,256kB,256kB,4MB,8,2,4,128,904,4239281,4219845,1.4729
458.sjeng,256kB,256kB,4MB,8,2,8,32,2930,16678126,16660237,2.8662
458.sjeng,256kB,256kB,4MB,8,2,8,64,1609,8384805,8364985,1.9371
458.sjeng,256kB,256kB,4MB,8,2,8,128,904,4239281,4219387,1.4728
458.sjeng,256kB,256kB,4MB,8,4,1,32,2930,16678126,16662098,2.8664
458.sjeng,256kB,256kB,4MB,8,4,1,64,1609,8384805,8367921,1.9374
458.sjeng,256kB,256kB,4MB,8,4,1,128,903,4239281,4222060,1.4731
458.sjeng,256kB,256kB,4MB,8,4,2,32,2930,16678126,16660902,2.8663
458.sjeng,256kB,256kB,4MB,8,4,2,64,1609,8384805,8366526,1.9373
458.sjeng,256kB,256kB,4MB,8,4,2,128,903,4239281,4220720,1.473
458.sjeng,256kB,256kB,4MB,8,4,4,32,2930,16678126,16660339,2.8662
458.sjeng,256kB,256kB,4MB,8,4,4,64,1609,8384805,8365547,1.9372
458.sjeng,256kB,256kB,4MB,8,4,4,128,903,4239281,4219844,1.4729
458.sjeng,256kB,256kB,4MB,8,4,8,32,2930,16678126,16660236,2.8662
458.sjeng,256kB,256kB,4MB,8,4,8,64,1609,8384805,8364984,1.9371
458.sjeng,256kB,256kB,4MB,8,4,8,128,903,4239281,4219385,1.4728
458.sjeng,256kB,256kB,4MB,8,8,1,32,2930,16678126,16662098,2.8664
458.sjeng,256kB,256kB,4MB,8,8,1,64,1609,8384805,8367920,1.9374
458.sjeng,256kB,256kB,4MB,8,8,1,128,903,4239281,4222059,1.4731
458.sjeng,256kB,256kB,4MB,8,8,2,32,2930,16678126,16660902,2.8663
458.sjeng,256kB,256kB,4MB,8,8,2,64,1609,8384805,8366526,1.9373
458.sjeng,256kB,256kB,4MB,8,8,2,128,903,4239281,4220720,1.473
458.sjeng,256kB,256kB,4MB,8,8,4,32,2930,16678126,16660339,2.8662
458.sjeng,256kB,256kB,4MB,8,8,4,64,1609,8384805,8365547,1.9372
458.sjeng,256kB,256kB,4MB,8,8,4,128,903,4239281,4219844,1.4729
458.sjeng,256kB,256kB,4MB,8,8,8,32,2930,16678126,16660236,2.8662
458.sjeng,256kB,256kB,4MB,8,8,8,64,1609,8384805,8364984,1.9371
458.sjeng,256kB,256kB,4MB,8,8,8,128,903,4239281,4219385,1.4728
